DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2011,105.43,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2012,111.66,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2013,117.22,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2014,121.58,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2015,128.63,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2016,136.27,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2017,144.48,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2018,153.57,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2019,162.82,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2020,175.30,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2021,198.25,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2022,221.28,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,AT,2023,213.06,p
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2005,76.19,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2006,85.04,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2007,92.62,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2008,97.24,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2009,97.10,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2010,100.00,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2011,103.51,
ESTAT:PRC_HPI_A(1.0),04/04/24 11:00:00,A,DW_EXST,I10_A_AVG,BE,2012,106.06,
