DATAFLOW,LAST UPDATE,freq,purchase,statinfo,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2010,28.58,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2011,28.36,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2012,27.92,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2013,27.69,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2014,25.65,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2015,22.87,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2016,27.32,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2017,28.59,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2018,26.24,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2019,26.94,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2020,25.37,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2021,24.58,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2022,24.17,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,AT,2023,25.33,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2010,39.02,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2011,39.92,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2012,38.41,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2013,38.79,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2014,37.91,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2015,37.68,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2016,34.74,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2017,36.80,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2018,33.56,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2019,34.98,
ESTAT:PRC_HPI_COW(1.0),04/04/24 11:00:00,A,DW_EXST,COWEA,PM,BE,2020,35.38,
