DATAFLOW,LAST UPDATE,freq,unit,geo,purchase,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2015,100.00,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2016,95.60,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2017,106.45,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2018,114.35,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2019,126.89,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2020,139.50,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2021,166.04,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2022,155.01,ep
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_EXST,2023,119.36,ep
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2015,100.00,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2016,107.03,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2017,115.96,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2018,126.01,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2019,166.43,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2020,200.40,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2021,235.18,
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2022,183.49,ep
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,DW_NEW,2023,93.26,ep
ESTAT:PRC_HPI_HSVA(1.0),04/04/24 11:00:00,A,I15_Q,AT,TOTAL,2010,69.76,
